experiment,tier,channel,accuracy,macro_f1,weighted_f1
E1_A1_activity_to_activity_naive_bayes,A1_E1,activity,0.7290,0.5859,0.7266
E1_A1_with_whom_to_with_whom_majority,A1_E1,with_whom,0.4066,0.0826,0.2351
E1_A1_activity_to_activity_xgboost,A1_E1,activity,0.9101,0.8565,0.9099
E1_A1_activity_to_activity_random_forest,A1_E1,activity,0.9090,0.8502,0.9090
E1_A1_enjoyment_to_enjoyment_naive_bayes,A1_E1,enjoyment,0.9183,0.8938,0.9185
E1_A1_activity_to_activity_logistic,A1_E1,activity,0.9089,0.8521,0.9087
E1_A1_enjoyment_to_enjoyment_markov,A1_E1,enjoyment,0.9802,0.9744,0.9802
E1_A1_location_to_location_majority,A1_E1,location,0.8280,0.3020,0.7501
E1_A1_location_to_location_markov,A1_E1,location,0.9860,0.9680,0.9860
E1_A1_enjoyment_to_enjoyment_majority,A1_E1,enjoyment,0.2991,0.0658,0.1377
E1_A1_location_to_location_random_forest,A1_E1,location,0.9860,0.9679,0.9860
E1_A1_location_to_location_xgboost,A1_E1,location,0.9860,0.9680,0.9860
E1_A1_enjoyment_to_enjoyment_logistic,A1_E1,enjoyment,0.9802,0.9744,0.9802
E1_A1_activity_to_activity_majority,A1_E1,activity,0.3069,0.0127,0.1441
E1_A1_enjoyment_to_enjoyment_sgd,A1_E1,enjoyment,0.9802,0.9744,0.9802
E1_A1_location_to_location_sgd,A1_E1,location,0.9860,0.9680,0.9860
E1_A1_with_whom_to_with_whom_markov,A1_E1,with_whom,0.9849,0.9705,0.9849
E1_A1_with_whom_to_with_whom_logistic,A1_E1,with_whom,0.9849,0.9705,0.9849
E1_A1_location_to_location_naive_bayes,A1_E1,location,0.9396,0.8704,0.9413
E1_A1_with_whom_to_with_whom_random_forest,A1_E1,with_whom,0.9849,0.9700,0.9849
E1_A1_activity_to_activity_markov,A1_E1,activity,0.9095,0.8563,0.9095
E1_A1_activity_to_activity_sgd,A1_E1,activity,0.9095,0.8553,0.9095
E1_A1_with_whom_to_with_whom_sgd,A1_E1,with_whom,0.9849,0.9703,0.9849
E1_A1_location_to_location_logistic,A1_E1,location,0.9860,0.9680,0.9860
E1_A1_with_whom_to_with_whom_naive_bayes,A1_E1,with_whom,0.9342,0.8831,0.9345
E1_A1_with_whom_to_with_whom_xgboost,A1_E1,with_whom,0.9849,0.9707,0.9849
E1_A1_enjoyment_to_enjoyment_random_forest,A1_E1,enjoyment,0.9801,0.9740,0.9801
E1_A1_enjoyment_to_enjoyment_xgboost,A1_E1,enjoyment,0.9802,0.9744,0.9802
E2_A2_multi_to_with_whom_random_forest,A2_E2,with_whom,0.5248,0.2758,0.5030
E2_A2_multi_to_with_whom_xgboost,A2_E2,with_whom,0.5318,0.3030,0.5123
E2_A2_multi_to_location_xgboost,A2_E2,location,0.9053,0.7618,0.8993
E2_A2_multi_to_with_whom_logistic,A2_E2,with_whom,0.5408,0.3056,0.5178
E2_A2_multi_to_enjoyment_random_forest,A2_E2,enjoyment,0.2903,0.1619,0.2595
E2_A2_multi_to_enjoyment_logistic,A2_E2,enjoyment,0.2862,0.1519,0.2537
E2_A2_multi_to_location_random_forest,A2_E2,location,0.9004,0.7498,0.8934
E2_A2_multi_to_activity_random_forest,A2_E2,activity,0.4715,0.0962,0.3901
E2_A2_multi_to_enjoyment_xgboost,A2_E2,enjoyment,0.2692,0.1549,0.2418
E2_A2_multi_to_location_logistic,A2_E2,location,0.8997,0.7466,0.8934
E2_A2_multi_to_activity_xgboost,A2_E2,activity,0.5174,0.1200,0.4379
E2_A2_multi_to_activity_logistic,A2_E2,activity,0.5186,0.1240,0.4474
E3_A3_enjoyment+with_whom_to_activity+location_sgd,A3_E3,activity,0.4954,0.0769,0.4026
E3_A3_enjoyment+with_whom_to_activity+location_sgd,A3_E3,location,0.8613,0.5221,0.8223
E3_A3_enjoyment+location_to_activity+with_whom_sgd,A3_E3,activity,0.5090,0.0817,0.4172
E3_A3_enjoyment+location_to_activity+with_whom_sgd,A3_E3,with_whom,0.5189,0.2336,0.4875
E3_A3_activity+with_whom_to_enjoyment+location_sgd,A3_E3,enjoyment,0.2977,0.1389,0.2418
E3_A3_activity+with_whom_to_enjoyment+location_sgd,A3_E3,location,0.8975,0.7406,0.8920
E3_A3_activity+location_to_enjoyment+with_whom_sgd,A3_E3,enjoyment,0.2886,0.1465,0.2507
